cognitive_ability	math_score	english_score	birth_year	studying_time	grade	female	male	income_status	mother_edu	father_edu	sibling_number
-0.222736999	60.47685242	65.04324341	1999	0	9	1	0	2	3	3	1
-1.002709985	56.08067322	62.27484512	1998	0	9	1	0	2	6	6	1
-1.155238032	61.67580795	55.35384369	1998	0	9	0	1	3	2	3	2
-0.120589003	61.67580795	70.58004761	1999	0	9	0	1	3	1	2	1
-0.682546973	74.2625885	68.49987793	2001	0	7	0	1	3	3	4	0
1.054610014	66.2467804	74.2106781	2001	2	7	0	1	3	7	7	3
0.680975974	74.87918854	78.49377441	2001	4	7	0	1	3	3	2	1
0.387104005	65.01357269	76.35222626	2001	0	7	0	1	3	4	7	0
-0.168800995	73.02938843	75.63837433	2000	1	7	1	0	3	3	3	0
0.076815002	71.79618835	70.64143372	2001	1	7	0	1	3	3	6	1
-0.410225004	74.87918854	72.78298187	2001	0	7	0	1	3	5	5	0
1.695984006	81.66179657	81.3491745	2000	0	7	0	1	3	6	6	0
-0.641169012	69.32978058	62.07523346	2000	0	7	1	0	3	6	6	1
0.860086977	77.96219635	87.05997467	2000	0	7	1	0	2	3	3	0
-0.83604598	46.51554871	42.80129623	2001	0	7	0	1	3	4	6	0
0.896808982	81.66179657	74.92453003	2001	0	7	0	1	3	3	3	1
-1.827432036	72.41278839	64.21678162	2000	1	7	1	0	3	3	3	1
0.28222701	79.81199646	79.92147827	2001	0	7	1	0	1	3	2	2
1.052903056	74.2625885	81.3491745	2001	1	7	1	0	3	3	6	1
-0.786965013	77.96219635	74.2106781	2001	2	7	1	0	3	6	8	1
-0.206817001	57.61436462	52.08134079	2001	0	7	0	1	3	3	3	0
-0.080601998	70.56298065	77.77992249	2001	0	7	0	1	3	3	6	0
1.866961002	79.19539642	74.2106781	2001	0	7	0	1	3	3	3	0
1.209447026	73.02938843	72.78298187	2001	0	7	0	1	3	3	3	1
-1.854477048	79.81199646	73.49682617	2000	0	7	0	1	3	6	5	0
-0.620693982	56.99776459	69.92758179	2000	0	7	0	1	3	4	8	0
0.343472004	73.02938843	65.64448547	2001	0	7	0	1	3	6	6	0
-0.806267023	61.9305687	57.79213715	2001	0	7	1	0	2	7	6	0
-0.303014994	56.38116074	62.07523346	2001	0	7	0	1	3	9	9	4
0.488496989	59.46416855	68.49987793	2000	0	7	0	1	5	9	6	1
0.625409007	66.86338043	69.92758179	2000	2	7	0	1	2	3	5	0
-1.408257008	65.63017273	68.49987793	2001	1	7	0	1	3	3	3	1
-0.314653009	74.2625885	67.78603363	2001	2	7	1	0	4	6	7	0
0.370523006	53.91475677	57.79213715	2001	0	7	0	1	3	4	3	0
-0.819778025	65.63017273	73.49682617	2001	5	7	0	1	3	6	7	0
0.337085992	68.09658051	55.65058899	2000	1	7	0	1	3	2	3	1
-1.206516981	65.01357269	59.9336853	2001	3	7	0	1	3	3	4	1
1.40023005	80.4285965	82.77687073	2001	3	7	0	1	3	6	8	0
